time Area Area_std NumInNet NumInNet_std
4349000 1673.8234 441.93572 1719.6667 260.59206
4349200 1674.0784 442.05689 1720.3333 261.53436
4349400 1674.3289 442.18283 1720.3333 261.53436
4349600 1674.596 442.30304 1720.3333 261.53436
4349800 1674.8494 442.42615 1722 260.34336
4350000 1675.1066 442.56769 1722 260.34336
4350200 1675.3308 442.65783 1723.6667 262.69924
4350400 1675.5666 442.76529 1723.6667 262.69924
4350600 1675.8149 442.86198 1723.6667 262.69924
4350800 1676.0414 442.97574 1723.6667 262.69924
4351000 1676.2904 443.1195 1723.6667 262.69924
4351200 1676.5348 443.22224 1724.6667 263.41897
4351400 1676.7757 443.3466 1724.6667 263.41897
4351600 1677.0008 443.47012 1724.6667 263.41897
4351800 1677.2351 443.59449 1724.6667 263.41897
4352000 1677.4661 443.70059 1724.6667 263.41897
4352200 1677.7156 443.82794 1724.6667 263.41897
4352400 1677.9411 443.93477 1724.6667 263.41897
4352600 1678.1664 444.06242 1724.6667 263.41897
4352800 1678.3826 444.18424 1724.6667 263.41897
4353000 1678.6226 444.29874 1724.6667 263.41897
4353200 1678.8397 444.42551 1724.6667 263.41897
4353400 1679.0646 444.55813 1724.6667 263.41897
4353600 1679.3154 444.68231 1724.6667 263.41897
4353800 1679.5658 444.7821 1726 263.17041
4354000 1679.8147 444.90643 1726 263.17041
4354200 1680.0685 445.05921 1726.6667 262.72588
4354400 1680.304 445.17366 1726.6667 262.72588
4354600 1680.5436 445.28858 1726.6667 262.72588
4354800 1680.7911 445.43515 1727.6667 262.69924
4355000 1681.0208 445.54439 1727.6667 262.69924
4355200 1681.2557 445.66275 1729 264.58395
4355400 1681.4892 445.78258 1729 264.58395
4355600 1681.728 445.90196 1729 264.58395
4355800 1681.9862 446.03203 1730.3333 266.46868
4356000 1682.2353 446.17138 1730.3333 266.46868
4356200 1682.4833 446.30648 1731.6667 266.96608
4356400 1682.7294 446.43175 1731.6667 266.96608
4356600 1682.988 446.56244 1731.6667 266.96608
4356800 1683.2408 446.67649 1732.3333 267.90836
