time Area Area_std NumInNet
2317600 899.72328 115.55635 1015.3333
2317800 899.79775 115.57311 1015.3333
2318000 899.86918 115.59816 1015.3333
2318200 899.94903 115.6081 1015.3333
2318400 900.03131 115.63258 1015.3333
2318600 900.11643 115.64484 1015.3333
2318800 900.20947 115.664 1015.3333
2319000 900.28984 115.68862 1015.3333
2319200 900.36316 115.71779 1015.3333
2319400 900.45034 115.72816 1015.3333
2319600 900.54954 115.73457 1015.3333
2319800 900.64479 115.75899 1015.3333
2320000 900.72331 115.77552 1015.3333
2320200 900.81843 115.78007 1015.6667
2320400 900.9122 115.79031 1015.6667
2320600 900.99138 115.7996 1015.6667
2320800 901.07209 115.80603 1016.3333
2321000 901.15437 115.81058 1016.3333
2321200 901.23105 115.82564 1016.3333
2321400 901.29929 115.8268 1016.3333
2321600 901.38177 115.85769 1016.3333
2321800 901.48095 115.88579 1016.3333
2322000 901.57883 115.90004 1016.3333
2322200 901.66584 115.93383 1016.3333
2322400 901.74793 115.96752 1016.3333
2322600 901.82838 115.99339 1016.3333
2322800 901.92396 116.02322 1016.3333
2323000 902.01425 116.05565 1016.3333
2323200 902.09654 116.07929 1016.3333
2323400 902.19838 116.10757 1016.3333
2323600 902.29608 116.13684 1016.3333
2323800 902.37188 116.13535 1017
2324000 902.45319 116.1483 1017
2324200 902.52143 116.16274 1017
2324400 902.61106 116.19125 1017
2324600 902.69529 116.21925 1017
2324800 902.80066 116.22978 1017
2325000 902.90455 116.2627 1017
2325200 903.00641 116.27814 1017
2325400 903.10501 116.31322 1017
2325600 903.19793 116.34789 1017
2325800 903.27422 116.38466 1017.6667
2326000 903.34776 116.41295 1017.6667
2326200 903.42325 116.41721 1017.6667
2326400 903.50419 116.41986 1017.6667
2326600 903.59724 116.42661 1017.6667
2326800 903.68988 116.43454 1018.3333
2327000 903.77015 116.44215 1018.3333
2327200 903.83964 116.44053 1018.3333
2327400 903.90891 116.46349 1018.3333
2327600 903.98566 116.47563 1018.3333
2327800 904.0514 116.50395 1018.3333
2328000 904.12753 116.51841 1018.3333
2328200 904.20047 116.53459 1018.3333
2328400 904.29325 116.56924 1018.3333
2328600 904.37643 116.60267 1018.3333
2328800 904.45005 116.62873 1019
2329000 904.53006 116.64775 1019
2329200 904.59532 116.67116 1019.6667
2329400 904.67552 116.69279 1019.6667
2329600 904.76181 116.72198 1019.6667
2329800 904.85524 116.73838 1019.6667
2330000 904.94711 116.76222 1019.6667
2330200 905.01771 116.76685 1019.6667
2330400 905.11338 116.77954 1019.6667
2330600 905.16985 116.79971 1019.6667
2330800 905.256 116.83062 1019.6667
2331000 905.35849 116.84981 1019.6667
2331200 905.45741 116.87977 1019.6667
2331400 905.5371 116.89757 1019.6667
2331600 905.62199 116.90428 1019.6667
2331800 905.69373 116.92415 1019.6667
2332000 905.78278 116.9453 1019.6667
2332200 905.86285 116.9622 1020.3333
2332400 905.93502 116.97155 1020.3333
2332600 906.01897 116.99565 1020.3333
2332800 906.08948 117.02698 1021
2333000 906.15158 117.04201 1021
2333200 906.22132 117.05963 1021
2333400 906.29598 117.08996 1021
2333600 906.36386 117.09508 1021
2333800 906.44837 117.10099 1021
2334000 906.54999 117.11614 1021
2334200 906.64432 117.13292 1021.6667
2334400 906.7009 117.14557 1021.6667
2334600 906.77273 117.16032 1021.6667
2334800 906.84095 117.17069 1021.6667
2335000 906.91065 117.1941 1021.6667
2335200 906.97256 117.22013 1021.6667
2335400 907.04842 117.23901 1021.6667
2335600 907.13016 117.26433 1021.6667
2335800 907.20897 117.28315 1021.6667
2336000 907.27138 117.28851 1021.6667
2336200 907.33999 117.30739 1021.6667
2336400 907.42143 117.32999 1021.6667
2336600 907.47846 117.3449 1021.6667
2336800 907.53808 117.36653 1021.6667
2337000 907.60176 117.38688 1021.6667
2337200 907.69632 117.42213 1021.6667
