time Area Area_std
3590000 1153.7595 158.84006
3590200 1153.8369 158.87097
3590400 1153.9263 158.90605
3590600 1154.0174 158.94681
3590800 1154.121 158.99588
3591000 1154.2039 159.02184
3591200 1154.2968 159.0548
3591400 1154.3732 159.06799
3591600 1154.453 159.083
3591800 1154.5297 159.12265
3592000 1154.6063 159.1515
3592200 1154.6744 159.17251
3592400 1154.7515 159.20162
3592600 1154.8333 159.23048
3592800 1154.8994 159.24847
3593000 1154.9791 159.26636
3593200 1155.0485 159.30425
3593400 1155.1174 159.32626
3593600 1155.189 159.34732
3593800 1155.2529 159.39409
3594000 1155.3461 159.43423
3594200 1155.4271 159.48016
3594400 1155.4978 159.50531
3594600 1155.577 159.52196
3594800 1155.6628 159.5439
3595000 1155.7513 159.57487
3595200 1155.8422 159.63346
3595400 1155.9258 159.66479
3595600 1155.9962 159.68072
3595800 1156.0813 159.71153
3596000 1156.1697 159.72817
3596200 1156.2565 159.76524
3596400 1156.3354 159.79683
3596600 1156.4062 159.8177
3596800 1156.4743 159.82898
3597000 1156.5737 159.85756
3597200 1156.6726 159.89369
3597400 1156.7443 159.93931
3597600 1156.8363 159.97694
3597800 1156.9353 160.00973
3598000 1157.0431 160.04471
3598200 1157.1307 160.07258
3598400 1157.2175 160.10725
3598600 1157.2917 160.14192
3598800 1157.3815 160.16776
3599000 1157.4596 160.20033
3599200 1157.5441 160.22802
3599400 1157.6168 160.25113
3599600 1157.7081 160.26804
3599800 1157.7872 160.29922
3600000 1157.861 160.33562
3600200 1157.9486 160.37764
3600400 1158.0384 160.43132
3600600 1158.127 160.46398
3600800 1158.2129 160.5068
3601000 1158.3007 160.52658
3601200 1158.3827 160.56147
3601400 1158.4851 160.59732
3601600 1158.5746 160.63248
3601800 1158.6863 160.67636
3602000 1158.7767 160.71891
3602200 1158.8688 160.75819
3602400 1158.9719 160.79814
3602600 1159.0598 160.82913
3602800 1159.1542 160.86711
3603000 1159.232 160.88235
3603200 1159.3085 160.91471
3603400 1159.386 160.95276
3603600 1159.4679 160.95527
3603800 1159.5628 160.96872
3604000 1159.6459 161.01084
3604200 1159.7458 161.06184
3604400 1159.8335 161.0975
3604600 1159.8996 161.13121
3604800 1159.9879 161.17539
3605000 1160.0893 161.19832
3605200 1160.1847 161.2274
3605400 1160.2715 161.25452
3605600 1160.3413 161.29085
3605800 1160.4315 161.31595
3606000 1160.5155 161.35849
3606200 1160.5996 161.40235
3606400 1160.678 161.45455
3606600 1160.7606 161.49959
3606800 1160.8495 161.55249
3607000 1160.9335 161.59546
3607200 1161.0034 161.62481
3607400 1161.0985 161.66789
3607600 1161.1902 161.72703
3607800 1161.2853 161.77456
3608000 1161.3505 161.79398
3608200 1161.4279 161.83904
3608400 1161.5176 161.89405
3608600 1161.5741 161.94706
3608800 1161.6296 161.99036
3609000 1161.7066 162.0203
3609200 1161.7925 162.07145
3609400 1161.8774 162.11003
3609600 1161.9523 162.14092
3609800 1162.0305 162.17888
3610000 1162.1081 162.21111
3610200 1162.2056 162.25132
3610400 1162.2822 162.27601
3610600 1162.3661 162.30882
3610800 1162.4353 162.34582
3611000 1162.5157 162.39314
3611200 1162.6083 162.44986
3611400 1162.6991 162.4828
3611600 1162.7811 162.51952
3611800 1162.8795 162.5721
3612000 1162.9536 162.61642
3612200 1163.0487 162.63306
3612400 1163.159 162.66779
3612600 1163.263 162.69266
3612800 1163.3647 162.7133
3613000 1163.4646 162.74746
3613200 1163.5644 162.7899
3613400 1163.6593 162.84572
3613600 1163.7549 162.88335
3613800 1163.857 162.92197
3614000 1163.9393 162.97525
3614200 1164.0455 163.01451
3614400 1164.1265 163.0519
3614600 1164.2139 163.09421
3614800 1164.3002 163.15102
3615000 1164.3846 163.19809
3615200 1164.5017 163.22615
3615400 1164.5789 163.23521
3615600 1164.6764 163.26448
3615800 1164.7795 163.30405
3616000 1164.8925 163.33868
3616200 1164.9819 163.38316
3616400 1165.0748 163.42556
3616600 1165.1515 163.46099
3616800 1165.255 163.50029
3617000 1165.3501 163.50931
3617200 1165.4444 163.53768
3617400 1165.5445 163.5562
3617600 1165.6265 163.57841
3617800 1165.7116 163.61766
3618000 1165.8098 163.64447
3618200 1165.9027 163.67355
3618400 1165.9907 163.70317
3618600 1166.0806 163.71954
3618800 1166.1709 163.74342
3619000 1166.2838 163.75992
3619200 1166.3596 163.79669
