Time AvStrain StdStrain Time_1e5
106200 0.029036903 0.0015244688 1.062
106400 0.029091945 0.0015129582 1.064
106600 0.029156192 0.0014863474 1.066
106800 0.029212176 0.0015057751 1.068
107000 0.029260515 0.001520042 1.07
107200 0.029332049 0.001518781 1.072
107400 0.029404368 0.0015335347 1.074
107600 0.029481696 0.0015391759 1.076
107800 0.029544218 0.0015443452 1.078
108000 0.029625688 0.0015440096 1.08
108200 0.029680861 0.0015583112 1.082
108400 0.029736041 0.0015618362 1.084
108600 0.029823144 0.0015650054 1.086
108800 0.029875051 0.0015621114 1.088
109000 0.029940594 0.0015665393 1.09
109200 0.029997835 0.0015907404 1.092
109400 0.030048506 0.0016181261 1.094
109600 0.03011739 0.0016633482 1.096
109800 0.030177198 0.0017233317 1.098
110000 0.030246839 0.0017477547 1.1
110200 0.030305002 0.0017571325 1.102
110400 0.030363046 0.0017653918 1.104
110600 0.030434559 0.0017673538 1.106
110800 0.030488043 0.0017727932 1.108
111000 0.030556182 0.0017632167 1.11
111200 0.03061711 0.0017590021 1.112
111400 0.030656589 0.0017510201 1.114
111600 0.030707927 0.0017434023 1.116
111800 0.030779458 0.001752431 1.118
112000 0.030853358 0.0017398772 1.12
112200 0.030930931 0.0017396972 1.122
112400 0.030994771 0.0017443209 1.124
112600 0.031049261 0.0017631371 1.126
112800 0.031100572 0.0017820395 1.128
113000 0.031164701 0.0017714917 1.13
113200 0.031218075 0.0017824031 1.132
113400 0.031274078 0.0017821585 1.134
113600 0.031349224 0.0017723174 1.136
113800 0.031423556 0.0017720857 1.138
114000 0.031495649 0.0017897523 1.14
114200 0.031563516 0.0017864388 1.142
114400 0.031642994 0.0017571262 1.144
114600 0.031696159 0.001753382 1.146
114800 0.031762957 0.0017467357 1.148
115000 0.03183746 0.0017583223 1.15
115200 0.031900394 0.0017458243 1.152
115400 0.031970828 0.0017365515 1.154
115600 0.032041328 0.0017268097 1.156
115800 0.032107362 0.0017268471 1.158
116000 0.032184101 0.0017159127 1.16
116200 0.03223151 0.001711975 1.162
116400 0.032292131 0.0016866263 1.164
116600 0.032359527 0.0016958214 1.166
116800 0.03243224 0.0016984054 1.168
117000 0.032490689 0.0016864508 1.17
117200 0.032560706 0.0017025935 1.172
117400 0.032631566 0.0017096338 1.174
117600 0.032677245 0.0017129462 1.176
117800 0.032738837 0.0017024277 1.178
118000 0.032785572 0.0017004264 1.18
118200 0.032835226 0.0016917493 1.182
118400 0.032899797 0.0017044839 1.184
118600 0.03295332 0.0017236562 1.186
118800 0.033004984 0.0017441015 1.188
119000 0.033061308 0.0017686835 1.19
119200 0.033120321 0.0017662265 1.192
119400 0.033170546 0.0017777635 1.194
119600 0.033223301 0.0017904617 1.196
119800 0.033300033 0.0017925691 1.198
120000 0.033357377 0.0018147547 1.2
120200 0.033442814 0.001820767 1.202
120400 0.033494093 0.0018039329 1.204
120600 0.033555461 0.0018184036 1.206
120800 0.033591967 0.0018164844 1.208
121000 0.033640801 0.0018291982 1.21
121200 0.033700962 0.0018420169 1.212
121400 0.033752213 0.0018487301 1.214
121600 0.033805755 0.001867513 1.216
121800 0.033868694 0.0018531348 1.218
122000 0.033928698 0.0018466496 1.22
122200 0.034016234 0.0018677171 1.222
122400 0.034099569 0.0018727903 1.224
122600 0.034167471 0.0018660414 1.226
122800 0.034228522 0.0018615591 1.228
123000 0.034284727 0.00186748 1.23
123200 0.03433848 0.001869341 1.232
123400 0.034412122 0.0018595606 1.234
123600 0.034473462 0.0018623613 1.236
123800 0.034518342 0.0018543449 1.238
124000 0.034579026 0.0018366935 1.24
124200 0.034633162 0.0018262355 1.242
124400 0.034696983 0.0018365152 1.244
124600 0.034756364 0.001851415 1.246
124800 0.034817306 0.0018587309 1.248
125000 0.034881331 0.0018481472 1.25
125200 0.034959741 0.0018214893 1.252
125400 0.034998586 0.0018013809 1.254
125600 0.035067651 0.0017844469 1.256
125800 0.035155724 0.0017852982 1.258
126000 0.035232006 0.0017790441 1.26
126200 0.035291637 0.0017909168 1.262
126400 0.035354651 0.0017947389 1.264
126600 0.035425182 0.0017976437 1.266
126800 0.035479347 0.0018104785 1.268
127000 0.035528847 0.0018141931 1.27
127200 0.035595534 0.0018224213 1.272
127400 0.035642953 0.001804586 1.274
127600 0.035697175 0.0018162646 1.276
127800 0.035775415 0.0018475139 1.278
128000 0.035848828 0.0018538749 1.28
128200 0.035910487 0.0018670886 1.282
128400 0.035999194 0.001873757 1.284
128600 0.036091004 0.0018718191 1.286
128800 0.036161742 0.0018741302 1.288
129000 0.036243547 0.0018787194 1.29
129200 0.036311705 0.0018652836 1.292
129400 0.036368094 0.0018645524 1.294
129600 0.036422127 0.0018698214 1.296
129800 0.036479413 0.0018674437 1.298
130000 0.036527602 0.0018821811 1.3
130200 0.036567475 0.0019021963 1.302
130400 0.036607293 0.0018973166 1.304
130600 0.036646892 0.0019086471 1.306
130800 0.036701959 0.0019193342 1.308
131000 0.036737087 0.0019255576 1.31
131200 0.036769764 0.0019223079 1.312
131400 0.036805529 0.0019214532 1.314
131600 0.036872719 0.0019251932 1.316
131800 0.036948594 0.0019162068 1.318
132000 0.036999735 0.0019163872 1.32
132200 0.037044138 0.0018901247 1.322
132400 0.0370983 0.0018788251 1.324
132600 0.037149713 0.0018922481 1.326
132800 0.037196884 0.0018961568 1.328
133000 0.037266488 0.0019024926 1.33
133200 0.037325755 0.001928989 1.332
133400 0.037373705 0.0019585423 1.334
133600 0.037415781 0.0019605509 1.336
133800 0.037479016 0.0019708458 1.338
134000 0.037539954 0.0019912183 1.34
134200 0.037596768 0.0020129368 1.342
134400 0.037644056 0.0020081898 1.344
134600 0.03767577 0.0019867998 1.346
134800 0.037733682 0.001954499 1.348
135000 0.037776154 0.0019397878 1.35
135200 0.037812006 0.0019024481 1.352
135400 0.037861092 0.0018720467 1.354
135600 0.037906897 0.0018715231 1.356
135800 0.037955667 0.0018606465 1.358
136000 0.038003396 0.0018428984 1.36
136200 0.038046239 0.0018442938 1.362
136400 0.038091263 0.0018366225 1.364
136600 0.03814349 0.001837541 1.366
136800 0.038189781 0.0018544027 1.368
137000 0.038229469 0.0018832271 1.37
