Time Strain Concentration
114000 0.032158288 0.18877456
114200 0.032201404 0.18875879
114400 0.032236431 0.18874598
114600 0.032298156 0.1887234
114800 0.032359718 0.1887009
115000 0.032387916 0.18869059
115200 0.032413811 0.18868112
115400 0.032445747 0.18866945
115600 0.032458912 0.18866464
115800 0.03249593 0.18865111
116000 0.032518451 0.18864288
116200 0.032551333 0.18863087
116400 0.032578101 0.18862109
116600 0.032619457 0.18860598
116800 0.032626807 0.18860329
117000 0.032657875 0.18859195
117200 0.032669586 0.18858767
117400 0.032668294 0.18858814
117600 0.03268702 0.1885813
117800 0.032734683 0.18856389
118000 0.032755242 0.18855639
118200 0.032804014 0.18853858
118400 0.032822832 0.18853171
118600 0.032866691 0.1885157
118800 0.032911966 0.18849917
119000 0.032959777 0.18848172
119200 0.033001273 0.18846658
119400 0.033028757 0.18845655
119600 0.033067144 0.18844255
119800 0.033131475 0.18841908
120000 0.03320256 0.18839315
120200 0.033269369 0.18836879
120400 0.033384503 0.18832682
120600 0.033461016 0.18829894
120800 0.03353806 0.18827086
121000 0.033629866 0.18823742
121200 0.033712796 0.18820722
121400 0.033770051 0.18818637
121600 0.033825906 0.18816604
121800 0.033843827 0.18815952
122000 0.033906724 0.18813662
122200 0.03390586 0.18813694
122400 0.033954819 0.18811912
122600 0.033976367 0.18811128
122800 0.034035864 0.18808963
123000 0.034063224 0.18807968
123200 0.034104792 0.18806456
123400 0.034189903 0.18803361
123600 0.034268069 0.18800519
123800 0.034304834 0.18799182
124000 0.034324353 0.18798473
124200 0.034347941 0.18797615
124400 0.03440416 0.18795572
124600 0.034453964 0.18793762
124800 0.034488199 0.18792518
125000 0.034516493 0.1879149
125200 0.034541877 0.18790568
125400 0.03458002 0.18789183
125600 0.034599229 0.18788485
125800 0.034641996 0.18786932
126000 0.034706295 0.18784597
126200 0.034709605 0.18784477
126400 0.034753933 0.18782867
126600 0.034792498 0.18781467
126800 0.034849338 0.18779404
127000 0.034933237 0.1877636
127200 0.035025582 0.18773009
127400 0.035144377 0.18768701
127600 0.035249839 0.18764877
127800 0.035343959 0.18761465
128000 0.035413066 0.18758961
128200 0.035496897 0.18755924
128400 0.035560173 0.18753632
128600 0.035628666 0.18751151
128800 0.0356586 0.18750067
129000 0.035676972 0.18749402
129200 0.035678091 0.18749362
129400 0.035716666 0.18747965
129600 0.035802211 0.18744868
129800 0.035837232 0.18743601
130000 0.035878024 0.18742125
130200 0.035916587 0.18740729
130400 0.035931372 0.18740195
130600 0.035939595 0.18739897
130800 0.035999718 0.18737722
131000 0.036015109 0.18737165
131200 0.036083301 0.18734699
131400 0.036165554 0.18731725
131600 0.036236863 0.18729147
131800 0.03630797 0.18726576
132000 0.036359741 0.18724706
132200 0.036414117 0.18722741
132400 0.036469793 0.18720729
132600 0.036544374 0.18718036
132800 0.03662861 0.18714994
133000 0.036715192 0.18711868
133200 0.036781273 0.18709483
133400 0.036837104 0.18707468
133600 0.036903534 0.18705071
133800 0.036960517 0.18703015
134000 0.037024727 0.18700699
134200 0.037060847 0.18699396
134400 0.037111875 0.18697556
134600 0.037125168 0.18697077
134800 0.037180152 0.18695095
135000 0.037247382 0.18692671
135200 0.037301405 0.18690724
135400 0.037386303 0.18687665
135600 0.037454034 0.18685225
135800 0.037541695 0.18682068
136000 0.037605859 0.18679758
136200 0.037647545 0.18678257
136400 0.037697538 0.18676457
136600 0.037776364 0.1867362
136800 0.037840737 0.18671304
137000 0.037949258 0.18667399
137200 0.03799999 0.18665575
137400 0.038058233 0.1866348
137600 0.038131747 0.18660837
137800 0.038198165 0.1865845
138000 0.038266094 0.18656008
138200 0.03833495 0.18653534
138400 0.03836177 0.1865257
138600 0.038452893 0.18649297
138800 0.038521836 0.18646821
139000 0.038572188 0.18645013
139200 0.038662659 0.18641765
139400 0.038722241 0.18639626
139600 0.038763685 0.18638139
139800 0.038834737 0.1863559
140000 0.038915214 0.18632703
140200 0.038997482 0.18629752
140400 0.039052719 0.18627771
140600 0.039128437 0.18625057
140800 0.039193187 0.18622736
141000 0.03921797 0.18621848
141200 0.039262504 0.18620252
141400 0.03932316 0.18618078
141600 0.039388351 0.18615743
141800 0.039450622 0.18613513
142000 0.039521314 0.18610981
142200 0.039590488 0.18608504
142400 0.039629517 0.18607107
142600 0.03966378 0.18605881
142800 0.039717835 0.18603946
143000 0.039784611 0.18601557
143200 0.039839182 0.18599604
143400 0.039898449 0.18597484
143600 0.039948418 0.18595697
143800 0.040027443 0.18592871
144000 0.040108278 0.18589982
144200 0.040158779 0.18588177
144400 0.040205117 0.1858652
144600 0.04028534 0.18583654
144800 0.040371175 0.18580588
145000 0.040444883 0.18577955
145200 0.040484065 0.18576556
145400 0.040539278 0.18574585
145600 0.040604715 0.18572249
145800 0.040652755 0.18570534
146000 0.040694553 0.18569042
146200 0.040721547 0.18568079
146400 0.040735529 0.1856758
146600 0.040775816 0.18566143
146800 0.040839397 0.18563874
147000 0.040909745 0.18561365
147200 0.040958203 0.18559637
147400 0.041013899 0.18557651
147600 0.041117435 0.1855396
147800 0.041179726 0.1855174
148000 0.041229488 0.18549967
148200 0.041296163 0.18547592
148400 0.041382748 0.18544508
148600 0.041456161 0.18541893
148800 0.041487323 0.18540784
149000 0.041538859 0.18538949
149200 0.041614706 0.18536249
149400 0.041726211 0.18532281
149600 0.04178644 0.18530138
149800 0.041880598 0.18526789
150000 0.041967457 0.18523701
150200 0.042012124 0.18522113
150400 0.042038563 0.18521173
150600 0.042096684 0.18519107
150800 0.042176678 0.18516264
151000 0.042233083 0.1851426
151200 0.042283039 0.18512485
151400 0.042332049 0.18510744
151600 0.042386054 0.18508826
151800 0.042437434 0.18507002
152000 0.042483765 0.18505357
152200 0.042559538 0.18502667
152400 0.042647968 0.18499529
152600 0.042714822 0.18497157
152800 0.04277234 0.18495116
153000 0.042827684 0.18493153
153200 0.042907578 0.1849032
153400 0.042972551 0.18488016
153600 0.043002212 0.18486964
153800 0.043064149 0.18484769
154000 0.043155191 0.18481543
154200 0.04322919 0.18478921
154400 0.043283627 0.18476992
154600 0.043316314 0.18475835
154800 0.043382703 0.18473484
155000 0.043457168 0.18470847
155200 0.043537722 0.18467995
155400 0.043627577 0.18464815
155600 0.043727154 0.18461292
155800 0.043788554 0.18459121
156000 0.04384941 0.18456968
156200 0.043896537 0.18455302
156400 0.043955435 0.18453219
156600 0.044017097 0.1845104
156800 0.044095211 0.18448279
157000 0.044167856 0.18445712
157200 0.044244306 0.18443011
157400 0.044318319 0.18440397
157600 0.044368119 0.18438639
157800 0.04440739 0.18437252
158000 0.044489967 0.18434337
158200 0.044535992 0.18432712
158400 0.044585403 0.18430969
158600 0.044635728 0.18429193
158800 0.044702208 0.18426847
159000 0.044765978 0.18424598
159200 0.044859929 0.18421285
159400 0.044975344 0.18417216
159600 0.045084327 0.18413375
159800 0.045139224 0.18411441
160000 0.045195728 0.1840945
160200 0.045231288 0.18408197
160400 0.045280192 0.18406475
160600 0.045361592 0.18403609
160800 0.045410883 0.18401873
161000 0.045517305 0.18398127
161200 0.04555224 0.18396898
161400 0.045600778 0.1839519
161600 0.045712578 0.18391257
161800 0.045813367 0.18387712
162000 0.045916995 0.18384068
162200 0.045998358 0.18381208
162400 0.046130677 0.18376559
162600 0.04624441 0.18372564
162800 0.046335447 0.18369367
163000 0.046406098 0.18366886
163200 0.04647448 0.18364486
163400 0.046599615 0.18360095
163600 0.046689443 0.18356944
163800 0.046776872 0.18353877
164000 0.046869744 0.18350621
164200 0.046957243 0.18347554
164400 0.047026395 0.1834513
164600 0.04710691 0.18342309
164800 0.047161372 0.18340401
165000 0.04722685 0.18338108
165200 0.047283251 0.18336133
165400 0.047353681 0.18333667
165600 0.047409637 0.18331708
165800 0.047491625 0.18328839
166000 0.047565563 0.18326251
166200 0.047613954 0.18324558
