Time Strain Concentration
112600 0.033321838 0.18730906
112800 0.03334885 0.18729927
113000 0.033391934 0.18728365
113200 0.033466085 0.18725677
113400 0.033518953 0.18723762
113600 0.03358418 0.18721399
113800 0.033624889 0.18719924
114000 0.033741722 0.18715693
114200 0.033856333 0.18711543
114400 0.033933512 0.1870875
114600 0.033997178 0.18706446
114800 0.034068925 0.1870385
115000 0.03417312 0.18700082
115200 0.034273808 0.18696441
115400 0.034322915 0.18694666
115600 0.034388513 0.18692295
115800 0.034456862 0.18689825
116000 0.034504628 0.18688099
116200 0.034569136 0.18685768
116400 0.034633893 0.18683429
116600 0.034700441 0.18681026
116800 0.034726174 0.18680097
117000 0.034780276 0.18678144
117200 0.034840057 0.18675986
117400 0.034886098 0.18674324
117600 0.0349528 0.18671917
117800 0.035021106 0.18669453
118000 0.035083031 0.18667219
118200 0.035104104 0.18666459
118400 0.035141209 0.18665121
118600 0.035216573 0.18662403
118800 0.035257166 0.18660939
119000 0.035319889 0.18658679
119200 0.03537868 0.1865656
119400 0.035435486 0.18654513
119600 0.03551833 0.18651528
119800 0.03557183 0.18649601
120000 0.035674457 0.18645905
120200 0.03580113 0.18641345
120400 0.035897636 0.18637871
120600 0.035960286 0.18635617
120800 0.036010593 0.18633807
121000 0.036072412 0.18631584
121200 0.036137774 0.18629233
121400 0.036185133 0.1862753
121600 0.036252312 0.18625115
121800 0.036291131 0.1862372
122000 0.036336774 0.1862208
122200 0.036392773 0.18620067
122400 0.036446924 0.18618122
122600 0.036499998 0.18616215
122800 0.03655987 0.18614064
123000 0.036583465 0.18613217
123200 0.036666082 0.1861025
123400 0.036711479 0.18608621
123600 0.036760057 0.18606877
123800 0.036803782 0.18605307
124000 0.036866479 0.18603057
124200 0.03691599 0.18601281
124400 0.036963817 0.18599565
124600 0.037041468 0.1859678
124800 0.037103173 0.18594567
125000 0.037165226 0.18592342
125200 0.037178154 0.18591879
125400 0.03720589 0.18590884
125600 0.037259583 0.1858896
125800 0.037275609 0.18588385
126000 0.037296841 0.18587624
126200 0.037338308 0.18586138
126400 0.0373993 0.18583953
126600 0.037412022 0.18583497
126800 0.037443812 0.18582358
127000 0.03749701 0.18580453
127200 0.037560445 0.18578181
127400 0.037627841 0.18575767
127600 0.037716336 0.18572599
127800 0.037785525 0.18570123
128000 0.037861617 0.185674
128200 0.037914245 0.18565517
128400 0.037960673 0.18563856
128600 0.038043951 0.18560878
128800 0.038134892 0.18557626
129000 0.038224336 0.18554429
129200 0.038237673 0.18553952
129400 0.038251621 0.18553454
129600 0.038282855 0.18552337
129800 0.038324598 0.18550846
130000 0.038312615 0.18551274
130200 0.038290399 0.18552068
130400 0.038289895 0.18552086
130600 0.038333003 0.18550545
130800 0.038393803 0.18548373
131000 0.038476266 0.18545427
131200 0.038564419 0.18542279
131400 0.038701799 0.18537375
131600 0.038790304 0.18534216
131800 0.038817901 0.18533231
132000 0.03885254 0.18531995
132200 0.038910837 0.18529916
132400 0.038990374 0.18527079
132600 0.039042154 0.18525232
132800 0.03909839 0.18523227
133000 0.039148074 0.18521456
133200 0.039215468 0.18519054
133400 0.039256255 0.185176
133600 0.039364868 0.1851373
133800 0.039455346 0.18510507
134000 0.039573417 0.18506303
134200 0.039663767 0.18503086
134400 0.039745518 0.18500177
134600 0.03983097 0.18497136
134800 0.039885127 0.1849521
135000 0.039953667 0.18492772
135200 0.040024967 0.18490236
135400 0.040112915 0.1848711
135600 0.04020473 0.18483846
135800 0.040279203 0.184812
136000 0.040362126 0.18478254
136200 0.040398526 0.18476961
136400 0.040464607 0.18474614
136600 0.040545858 0.18471729
136800 0.040627747 0.18468822
137000 0.040660773 0.1846765
137200 0.040731924 0.18465125
137400 0.04079181 0.18463
137600 0.040832951 0.1846154
137800 0.040873964 0.18460085
138000 0.040933364 0.18457979
138200 0.040990368 0.18455957
138400 0.041042677 0.18454102
138600 0.041098495 0.18452124
138800 0.041153071 0.18450189
139000 0.041184034 0.18449092
139200 0.041195531 0.18448685
139400 0.041248327 0.18446814
139600 0.041297366 0.18445076
139800 0.041345519 0.1844337
140000 0.04140265 0.18441347
140200 0.04148722 0.18438352
140400 0.041563044 0.18435668
140600 0.041604598 0.18434197
