time,numberMonsInNetwork
5577000.0,2689.0
5578000.0,2685.0
5579000.0,2676.0
5580000.0,2675.0
5581000.0,2662.0
5582000.0,2656.0
5583000.0,2662.0
5584000.0,2656.0
5585000.0,2661.0
5586000.0,2680.0
5587000.0,2678.0
5588000.0,2687.0
5589000.0,2681.0
5590000.0,2685.0
5591000.0,2687.0
5592000.0,2700.0
5593000.0,2704.0
5594000.0,2708.0
5595000.0,2694.0
5596000.0,2687.0
5597000.0,2671.0
5598000.0,2663.0
5599000.0,2665.0
5600000.0,2655.0
5601000.0,2681.0
5602000.0,2677.0
5603000.0,2672.0
5604000.0,2683.0
5605000.0,2681.0
5606000.0,2678.0
5607000.0,2696.0
5608000.0,2691.0
5609000.0,2684.0
5610000.0,2686.0
5611000.0,2685.0
5612000.0,2692.0
5613000.0,2695.0
5614000.0,2684.0
5615000.0,2669.0
5616000.0,2668.0
5617000.0,2656.0
5618000.0,2654.0
5619000.0,2661.0
5620000.0,2665.0
5621000.0,2662.0
5622000.0,2661.0
5623000.0,2662.0
5624000.0,2663.0
5625000.0,2673.0
5626000.0,2678.0
5627000.0,2670.0
5628000.0,2671.0
5629000.0,2677.0
5630000.0,2683.0
5631000.0,2675.0
5632000.0,2688.0
5633000.0,2680.0
5634000.0,2682.0
5635000.0,2686.0
5636000.0,2687.0
5637000.0,2675.0
5638000.0,2666.0
5639000.0,2668.0
5640000.0,2662.0
5641000.0,2652.0
5642000.0,2650.0
5643000.0,2648.0
5644000.0,2646.0
5645000.0,2646.0
5646000.0,2651.0
5647000.0,2660.0
5648000.0,2649.0
5649000.0,2658.0
5650000.0,2661.0
5651000.0,2658.0
5652000.0,2663.0
5653000.0,2667.0
5654000.0,2655.0
5655000.0,2666.0
5656000.0,2676.0
5657000.0,2664.0
5658000.0,2655.0
5659000.0,2668.0
5660000.0,2676.0
5661000.0,2683.0
5662000.0,2694.0
5663000.0,2687.0
5664000.0,2683.0
5665000.0,2691.0
5666000.0,2666.0
5667000.0,2680.0
5668000.0,2672.0
5669000.0,2664.0
5670000.0,2666.0
5671000.0,2673.0
5672000.0,2669.0
5673000.0,2677.0
5674000.0,2669.0
5675000.0,2685.0
5676000.0,2681.0
5677000.0,2674.0
5678000.0,2684.0
5679000.0,2678.0
5680000.0,2686.0
5681000.0,2674.0
5682000.0,2688.0
5683000.0,2672.0
5684000.0,2657.0
5685000.0,2656.0
5686000.0,2658.0
5687000.0,2665.0
5688000.0,2662.0
5689000.0,2675.0
5690000.0,2666.0
5691000.0,2673.0
5692000.0,2669.0
5693000.0,2669.0
5694000.0,2661.0
5695000.0,2670.0
5696000.0,2674.0
5697000.0,2657.0
5698000.0,2658.0
5699000.0,2642.0
5700000.0,2642.0
5701000.0,2634.0
5702000.0,2647.0
5703000.0,2645.0
5704000.0,2643.0
5705000.0,2637.0
5706000.0,2644.0
5707000.0,2674.0
5708000.0,2668.0
5709000.0,2667.0
5710000.0,2668.0
5711000.0,2656.0
5712000.0,2663.0
5713000.0,2646.0
5714000.0,2650.0
5715000.0,2656.0
5716000.0,2660.0
5717000.0,2677.0
5718000.0,2673.0
5719000.0,2649.0
5720000.0,2645.0
5721000.0,2648.0
5722000.0,2652.0
5723000.0,2657.0
5724000.0,2667.0
5725000.0,2670.0
5726000.0,2681.0
5727000.0,2689.0
5728000.0,2684.0
5729000.0,2679.0
5730000.0,2682.0
5731000.0,2677.0
5732000.0,2684.0
5733000.0,2684.0
5734000.0,2662.0
5735000.0,2660.0
5736000.0,2659.0
5737000.0,2664.0
5738000.0,2674.0
5739000.0,2676.0
5740000.0,2683.0
5741000.0,2677.0
5742000.0,2677.0
5743000.0,2686.0
5744000.0,2674.0
5745000.0,2673.0
5746000.0,2679.0
5747000.0,2669.0
5748000.0,2675.0
5749000.0,2663.0
5750000.0,2665.0
5751000.0,2666.0
5752000.0,2673.0
5753000.0,2659.0
5754000.0,2679.0
5755000.0,2666.0
5756000.0,2658.0
5757000.0,2662.0
5758000.0,2675.0
5759000.0,2667.0
5760000.0,2676.0
5761000.0,2669.0
5762000.0,2671.0
5763000.0,2673.0
5764000.0,2666.0
5765000.0,2662.0
5766000.0,2657.0
5767000.0,2654.0
5768000.0,2658.0
5769000.0,2661.0
5770000.0,2654.0
5771000.0,2644.0
5772000.0,2643.0
5773000.0,2645.0
5774000.0,2657.0
5775000.0,2673.0
5776000.0,2670.0
5777000.0,2653.0
5778000.0,2659.0
